Actual,Error,Predicted,,
2999000,-6774.130014,-3005774.13,,-0.225879627
2998880,-7826.409262,-3006706.409,,-0.26097774
2998000,-7450.184173,-3005450.184,,-0.248505143
2998000,-8192.07756,-3006192.078,,-0.27325142
2998000,-8205.967539,-3006205.968,,-0.273714728
2998000,-8344.454003,-3006344.454,,-0.278334023
2997589,-8971.663959,-3006560.664,,-0.299296
2995000,-8092.411161,-3003092.411,,-0.270197368
2995000,-7437.988519,-3002437.989,,-0.248346862
2995000,-8482.109951,-3003482.11,,-0.283209013
2995000,-9126.428664,-3004126.429,,-0.304722159
2995000,-8002.357519,-3003002.358,,-0.267190568
2995000,-6188.970041,-3001188.97,,-0.206643407
2995000,-8697.385364,-3003697.385,,-0.29039684
2995000,-8697.385364,-3003697.385,,-0.29039684
2995000,-8065.437801,-3003065.438,,-0.269296755
2995000,-8709.785546,-3003709.786,,-0.29081087
2995000,-5583.894502,-3000583.895,,-0.186440551
2995000,-8175.11756,-3003175.118,,-0.27295885
2995000,-8999.329719,-3003999.33,,-0.300478455
2995000,-7100.110446,-3002100.11,,-0.237065457
2995000,-8250.628641,-3003250.629,,-0.275480088
2995000,-7857.339756,-3002857.34,,-0.262348573
2995000,-7004.210877,-3002004.211,,-0.233863468
2995000,-7775.414891,-3002775.415,,-0.259613185
2995000,-7819.186816,-3002819.187,,-0.261074685
2995000,-8083.185271,-3003083.185,,-0.269889325
2995000,-8241.109167,-3003241.109,,-0.275162243
2995000,-8546.588214,-3003546.588,,-0.285361877
2995000,-9149.435889,-3004149.436,,-0.305490347
2990000,-5145.013321,-2995145.013,,-0.172074024
2989500,-7709.945508,-2997209.946,,-0.257900837
2988888,-8592.282174,-2997480.282,,-0.28747421
2988000,-8687.415577,-2996687.416,,-0.290743493
2980000,-6446.038528,-2986446.039,,-0.216310018
2975000,-8163.55616,-2983163.556,,-0.274405249
2975000,-8600.016089,-2983600.016,,-0.289076171
2975000,-5979.953181,-2980979.953,,-0.20100683
2950000,-9039.331072,-2959039.331,,-0.306418002
2950000,-5349.966032,-2955349.966,,-0.181354781
2900000,-7468.103283,-2907468.103,,-0.257520803
2900000,-9329.052317,-2909329.052,,-0.321691459
2900000,-8311.412624,-2908311.413,,-0.286600435
2899900,-7453.304391,-2907353.304,,-0.257019359
2899000,-6469.835462,-2905469.835,,-0.223174731
2899000,-8711.287634,-2907711.288,,-0.300492847
2898300,-7230.123543,-2905530.124,,-0.249460841
2898000,-6713.434644,-2904713.435,,-0.23165751
2895000,-7652.292335,-2902652.292,,-0.264327887
2895000,-8396.047805,-2903396.048,,-0.290018922
2895000,-8729.163359,-2903729.163,,-0.301525505
2880000,-7811.225924,-2887811.226,,-0.271223122
2880000,-8394.15128,-2888394.151,,-0.291463586
2875000,-8735.741345,-2883735.741,,-0.303851873
2855000,-8311.634203,-2863311.634,,-0.291125541
2850000,-8756.41521,-2858756.415,,-0.307242639
2850000,-8776.550665,-2858776.551,,-0.307949146
2850000,-7670.508769,-2857670.509,,-0.269140659
2849000,-7957.122497,-2856957.122,,-0.279295279
2845000,-7291.116814,-2852291.117,,-0.256278271
2828000,-7992.053925,-2835992.054,,-0.282604453
2800000,-7587.206127,-2807587.206,,-0.270971647
2799000,-6459.825339,-2805459.825,,-0.230790473
2799000,-8110.94561,-2807110.946,,-0.289780122
2799000,-6634.630865,-2805634.631,,-0.237035758
2795000,-8908.109603,-2803908.11,,-0.318715907
2795000,-8090.579064,-2803090.579,,-0.289466156
2795000,-8481.81154,-2803481.812,,-0.30346374
2790000,-8738.566408,-2798738.566,,-0.313210266
2788988,-5700.520971,-2794688.521,,-0.204393887
2788000,-7396.167096,-2795396.167,,-0.265285764
2750000,-6953.865127,-2756953.865,,-0.252867823
2750000,-6130.378303,-2756130.378,,-0.222922847
2750000,-6668.773354,-2756668.773,,-0.242500849
2750000,-8535.336199,-2758535.336,,-0.310375862
2750000,-8326.571879,-2758326.572,,-0.302784432
2749500,-5299.871261,-2754799.871,,-0.192757638
2748800,-7602.262452,-2756402.262,,-0.276566591
2739000,-7688.081476,-2746688.081,,-0.280689357
2700000,-7824.639646,-2707824.64,,-0.289801468
2699000,-8844.914564,-2707844.915,,-0.327710803
